name,grupo,sub_grupo
28DES0015Y,4,1
28DES0057X,4,1
28DES0087R,4,1
28DES0108N,4,1
28DST0010V,4,1
28DST0028U,4,1
28DTV0177P,4,1
28DTV0242Z,4,1
28PES0131T,4,1
28DTV0299Z,4,1
28DTV0307S,4,1
28PST0003Q,4,1
28DTV0204W,4,1
28PES0152F,4,1
28DES0003T,4,2
28DES0026D,4,2
28DES0027C,4,2
28DES0047Q,4,2
28DES0055Z,4,2
28DES0072P,4,2
28DES0081X,4,2
28DES0098X,4,2
28DES0103S,4,2
28DES0107O,4,2
28DES0110B,4,2
28DST0009F,4,2
28DST0044L,4,2
28DST0045K,4,2
28DST0056Q,4,2
28DST0059N,4,2
28DST0060C,4,2
28DST0073G,4,2
28DST0074F,4,2
28DTV0005X,4,2
28DTV0006W,4,2
28DTV0202Y,4,2
28PES0074S,4,2
28PES0103X,4,2
28DST0089H,4,2
28DTV0011H,4,2
28DTV0158A,4,2
28PES0111F,4,2
28PST0074K,4,2
28DTV0292G,4,2
28DTV0308R,4,2
28DES0005R,4,3
28DES0009N,4,3
28DSN0023O,4,3
28DST0049G,4,3
28DES0024F,4,3
28PST0063E,4,3
28DES0008O,4,4
28DES0014Z,4,4
28DTV0008U,4,4
28DST0021A,4,4
28DST0046J,4,4
28DTV0162N,4,4
28DTV0224J,4,4
28DES0029A,4,5
28PES0075R,4,5
28DST0065Y,4,5
28DTV0098C,4,5
28PES0097C,4,5
28DES0091D,4,6
28PES0007U,4,6
28PES0011G,4,6
28PES0021N,4,6
28PES0083Z,4,6
28PES0106U,4,6
28PES0112E,4,6
28PES0113D,4,6
28PES0078O,4,6
28PES0141Z,4,6
28PES0095E,4,6
28DES0078J,4,7
28DTV0128G,4,7
28DES0001V,4,8
28DES0033N,4,8
28DES0038I,4,8
28DES0041W,4,8
28DES0071Q,4,8
28DES0073O,4,8
28DES0088Q,4,8
28DES0104R,4,8
28DES0105Q,4,8
28DES0109M,4,8
28DES0111A,4,8
28DST0004K,4,8
28DST0047I,4,8
28DST0051V,4,8
28DST0061B,4,8
28DST0076D,4,8
28DST0077C,4,8
28DST0081P,4,8
28PES0002Z,4,8
28PES0003Y,4,8
28PES0048U,4,8
28PES0086X,4,8
28PES0093G,4,8
28PES0102Y,4,8
28PES0144X,4,8
28PST0022E,4,8
28PES0132S,4,8
28PES0151G,4,8
28PES0118Z,4,8
28DST0014R,4,8
28PES0110G,4,8
28PES0092H,4,8
28PST0073L,4,8
28DTV0245W,4,8
28DTV0045Y,4,8
28DES0011B,4,9
28DES0082W,4,9
28DST0011U,4,9
28DST0016P,4,9
28DST0048H,4,9
28DST0034E,4,9
28DTV0140B,4,9
28DST0023Z,4,9
28DTV0038O,4,9
28DST0039Z,4,10
28DTV0062O,4,10
28DTV0267H,4,10
28DTV0274R,4,10
28DES0092C,4,11
28DST0029T,4,11
28DTV0127H,4,11
