name,grupo,sub_grupo
05DES0007E,7,1
05DES0012Q,7,1
05DES0022X,7,1
05DES0024V,7,1
05DES0028R,7,1
05DES0029Q,7,1
05DES0038Y,7,1
05DES0042K,7,1
05DES0046G,7,1
05DES0056N,7,1
05DES0057M,7,1
05DES0061Z,7,1
05DES0062Y,7,1
05DES0063X,7,1
05DES0076A,7,1
05DES0082L,7,1
05DES0083K,7,1
05DST0004Z,7,1
05DST0023O,7,1
05DST0028J,7,1
05DST0037R,7,1
05DST0041D,7,1
05DST0056F,7,1
05DST0058D,7,1
05DST0066M,7,1
05DST0072X,7,1
05DST0074V,7,1
05DST0080F,7,1
05DST0081E,7,1
05DTV0021D,7,1
05DTV0049J,7,1
05EES0003H,7,1
05EES0004G,7,1
05EES0005F,7,1
05EES0018J,7,1
05EES0019I,7,1
05EES0033B,7,1
05EES0075A,7,1
05EST0001B,7,1
05EST0007W,7,1
05EST0016D,7,1
05EST0031W,7,1
05PES0008I,7,1
05PES0010X,7,1
05PES0031J,7,1
05PES0068X,7,1
05PES0103M,7,1
05PES0107I,7,1
05PES0125Y,7,1
05PES0132H,7,1
05PES0139A,7,1
05PES0148I,7,1
05PES0175F,7,1
05PST0011O,7,1
05EST0026K,7,1
05PST0004E,7,1
05PES0131I,7,1
05PST0024S,7,1
05PES0140Q,7,1
05PES0110W,7,1
05DTV0072K,7,1
05PST0013M,7,1
05DTV0040S,7,1
05PES0181Q,7,1
05DST0089X,7,1
05DES0064W,7,2
05DES0073D,7,2
05DES0081M,7,2
05DST0082D,7,2
05EST0004Z,7,2
05EST0011I,7,2
05EST0015E,7,2
05PES0167X,7,2
05DES0072E,7,3
05PES0152V,7,3
05DES0075B,7,4
05PES0011W,7,4
05PES0012V,7,4
05PES0025Z,7,4
05PES0049I,7,4
05PES0053V,7,4
05PES0067Y,7,4
05PES0082Q,7,4
05PES0083P,7,4
05PES0095U,7,4
05PES0098R,7,4
05PES0108H,7,4
05PES0116Q,7,4
05PES0136D,7,4
05PES0141P,7,4
05PES0162B,7,4
05PES0151W,7,4
05PES0096T,7,4
05PES0168W,7,4
05PES0134F,7,4
05PES0174G,7,4
05DST0012I,7,5
05DST0018C,7,5
05DTV0046M,7,5
05EES0001J,7,5
05DTV0091Z,7,6
05EST0006X,7,6
05EST0028I,7,6
19DES0001N,7,7
19DES0061B,7,7
19EES0040O,7,7
19EES0204H,7,7
19PES0285O,7,7
19DES0002M,7,8
19DES0014R,7,8
19DES0060C,7,8
19EES0012S,7,8
19EES0100M,7,8
19EES0235A,7,8
19EES0287G,7,8
19PES0265A,7,8
19DTV0084S,7,8
19PES0061G,7,8
19PES0325Z,7,8
19DES0003L,7,9
19DES0062A,7,9
19DES0082O,7,9
19DES0097Q,7,9
19DTV0028Z,7,9
19ESN0047P,7,9
19DES0004K,7,10
19DES0034E,7,10
19DES0050W,7,10
19DES0070J,7,10
19DES0085L,7,10
19DES0088I,7,10
19DES0095S,7,10
19DST0040H,7,10
19DST0059F,7,10
19DST0063S,7,10
19DST0064R,7,10
19DST0081H,7,10
19DST0082G,7,10
19DST0092N,7,10
19DST0102D,7,10
19DST0114I,7,10
19EES0066W,7,10
19EES0176B,7,10
19ESN0070Q,7,10
19EES0306E,7,10
19ESN0041V,7,10
19PES0058T,7,10
19DTV0030O,7,10
19DES0005J,7,11
19DES0007H,7,11
19DES0008G,7,11
19DES0012T,7,11
19DES0022Z,7,11
19DES0023Z,7,11
19DES0027V,7,11
19DES0031H,7,11
19DES0041O,7,11
19DES0064Z,7,11
19DES0067W,7,11
19DES0069U,7,11
19DES0072H,7,11
19DES0074F,7,11
19DES0090X,7,11
19DES0105I,7,11
19DES0113R,7,11
19DES0119L,7,11
19DSN0004S,7,11
19DSN0008O,7,11
19DST0018F,7,11
19DST0038T,7,11
19DST0041G,7,11
19DST0051N,7,11
19DST0052M,7,11
19DST0060V,7,11
19DST0067O,7,11
19DST0072Z,7,11
19DST0079T,7,11
19DST0084E,7,11
19DST0086C,7,11
19DST0094L,7,11
19DST0096J,7,11
19DST0099G,7,11
19DST0104B,7,11
19DST0106Z,7,11
19DST0109X,7,11
19DST0110M,7,11
19EES0018M,7,11
19EES0020A,7,11
19EES0042M,7,11
19EES0043L,7,11
19EES0045J,7,11
19EES0048G,7,11
19EES0051U,7,11
19EES0053S,7,11
19EES0054R,7,11
19EES0057O,7,11
19EES0058N,7,11
19EES0060B,7,11
19EES0076C,7,11
19EES0077B,7,11
19EES0104I,7,11
19EES0105H,7,11
19EES0142L,7,11
19EES0144J,7,11
19EES0166V,7,11
19EES0181N,7,11
19EES0182M,7,11
19EES0183L,7,11
19EES0210S,7,11
19EES0222X,7,11
19EES0229Q,7,11
19EES0230F,7,11
19EES0244I,7,11
19EES0252R,7,11
19EES0265V,7,11
19EES0267T,7,11
19EES0275B,7,11
19EES0276A,7,11
19EES0294Q,7,11
19EES0308C,7,11
19EES0325T,7,11
19ESN0065E,7,11
19PES0003Q,7,11
19PES0028Z,7,11
19PES0107L,7,11
19PES0067A,7,11
19PES0126Z,7,11
19PES0253W,7,11
19ESN0001U,7,11
19ESN0036J,7,11
19EES0300K,7,11
19PES0103P,7,11
19EES0293R,7,11
19ESN0016W,7,11
19EES0329P,7,11
19PES0274I,7,11
19ESN0029Z,7,11
19ESN0010B,7,11
19EES0277Z,7,11
19DST0113J,7,11
19DTV0043S,7,11
19ESN0006P,7,11
19ESN0075L,7,11
19EES0254P,7,11
19DES0006I,7,12
19DES0044L,7,12
19DST0027N,7,12
19DST0033Y,7,12
19DST0048Z,7,12
19DST0056I,7,12
19EES0231E,7,12
19PES0027Z,7,12
19PES0075J,7,12
19PES0087O,7,12
19PES0291Z,7,12
19PES0099T,7,12
19PES0110Z,7,12
19PES0289K,7,12
19PES0095X,7,12
19DES0009F,7,13
19DES0018N,7,13
19DES0042N,7,13
19DES0049G,7,13
19DES0056Q,7,13
19DES0057P,7,13
19DES0065Y,7,13
19DES0073G,7,13
19DES0079A,7,13
19DES0083N,7,13
19DES0084M,7,13
19DES0091W,7,13
19DES0104J,7,13
19DES0107G,7,13
19DST0025P,7,13
19DST0034X,7,13
19DST0039S,7,13
19DST0045C,7,13
19DST0068N,7,13
19DST0071A,7,13
19DST0076W,7,13
19DST0078U,7,13
19DST0080I,7,13
19DST0088A,7,13
19DST0089Z,7,13
19DST0097I,7,13
19EES0003K,7,13
19EES0009E,7,13
19EES0013R,7,13
19EES0140N,7,13
19EES0202J,7,13
19EES0225U,7,13
19EES0268S,7,13
19EES0269R,7,13
19EES0309B,7,13
19EES0312P,7,13
19EES0313O,7,13
19EES0319I,7,13
19EES0320Y,7,13
19PES0032L,7,13
19EES0316L,7,13
19EES0322W,7,13
19EES0323V,7,13
19EES0328Q,7,13
19PES0275H,7,13
19ESN0042U,7,13
19PES0257S,7,13
19ESN0004R,7,13
19ESN0074M,7,13
19PES0315S,7,13
19PES0026A,7,13
19DTV0033L,7,13
19PES0309H,7,13
19DES0010V,7,14
19EES0010U,7,14
19EES0102K,7,14
19EES0103J,7,14
19EES0141M,7,14
19EES0153R,7,14
19EES0310R,7,14
19ESN0025D,7,14
19EES0240M,7,14
19PES0105N,7,14
19ESN0040W,7,14
19DES0011U,7,15
19DES0063Z,7,15
19DSN0006Q,7,15
19DES0013S,7,16
19DES0029T,7,16
19DSN0002U,7,16
19EES0026V,7,16
19EES0030H,7,16
19DES0015Q,7,17
19DES0081P,7,17
19DST0013K,7,17
19EES0017N,7,17
19EES0101L,7,17
19ESN0026C,7,17
19DES0016P,7,18
19DES0024Y,7,18
19DES0096R,7,18
19DST0035W,7,18
19DST0046B,7,18
19DST0055J,7,18
19EES0007G,7,18
19EES0070I,7,18
19EES0174D,7,18
19EES0185J,7,18
19EES0203I,7,18
19EES0251S,7,18
19EES0285I,7,18
19PES0040U,7,18
19EES0297N,7,18
19ESN0050C,7,18
19DES0017O,7,19
19DES0033F,7,19
19DES0108F,7,19
19DES0019M,7,20
19PES0045P,7,20
19PES0053Y,7,20
19PES0057U,7,20
19PES0277F,7,20
19PES0295V,7,20
19PES0312V,7,20
19PES0304M,7,20
19DES0020B,7,21
19DES0028U,7,21
19DES0039Z,7,21
19DES0066X,7,21
19DES0112S,7,21
19DSN0005R,7,21
19DST0004C,7,21
19DST0031Z,7,21
19DST0047A,7,21
19DST0049Z,7,21
19DST0053L,7,21
19DST0061U,7,21
19DST0069M,7,21
19DST0090P,7,21
19DST0098H,7,21
