name,grupo,sub_grupo
08DES0008A,1136,1
08DES0011O,1136,1
08DES0040J,1136,1
08DES0069O,1136,1
08DES0072B,1136,1
08DES0113L,1136,1
08DES0116I,1136,1
08DST0032T,1136,1
08DST0058A,1136,1
08EES0016I,1136,1
08EES0182G,1136,1
08EES0199G,1136,1
08EES0203C,1136,1
08PES0252R,1136,1
08ETV0134C,1136,1
08PES0273D,1136,1
08ETV0205G,1136,1
08DES0021V,1136,2
08DES0111N,1136,2
08DST0029F,1136,2
08DST0061O,1136,2
08DST0062N,1136,2
08EES0072A,1136,2
08EES0075Y,1136,2
08EES0147A,1136,2
08EES0165Q,1136,2
08DST0077P,1136,2
08EES0204B,1136,2
08ETV0154Q,1136,2
08PST0020T,1136,2
08PES0186I,1136,2
08DES0022U,1136,3
08DST0002Z,1136,3
08DST0046W,1136,3
08EES0052N,1136,3
08EES0178U,1136,3
08EES0185D,1136,3
08PES0011T,1136,3
08PES0087I,1136,3
08PES0195Q,1136,3
08PES0210S,1136,3
08PES0270G,1136,3
08PES0276A,1136,3
08PES0291T,1136,3
08PES0279Y,1136,3
08PES0255O,1136,3
08DES0099I,1136,4
08DST0018Z,1136,4
08DST0050I,1136,4
08EES0020V,1136,4
08EES0058H,1136,4
08EES0076X,1136,4
08EES0177V,1136,4
08SES0016L,1136,4
08ETV0117M,1136,4
08PES0284J,1136,4
08SES0017K,1136,4
08DES0009Z,1136,5
08DES0017I,1136,5
08DES0028O,1136,5
08DES0033Z,1136,5
08DES0101G,1136,5
08DES0108Z,1136,5
08DST0036P,1136,5
08DST0057B,1136,5
08DST0068H,1136,5
08DST0074S,1136,5
08DST0078O,1136,5
08DST0092H,1136,5
08EES0024R,1136,5
08EES0077W,1136,5
08EES0131Z,1136,5
08EES0164R,1136,5
08EES0198H,1136,5
08EES0205A,1136,5
08ETV0168T,1136,5
08ETV0116N,1136,5
08SES0018J,1136,5
08DSN0002O,1136,5
08PES0055Q,1136,6
08PES0078A,1136,6
08PES0093T,1136,6
08PES0095R,1136,6
08PES0191U,1136,6
08PES0208D,1136,6
08PES0212Q,1136,6
08PES0231E,1136,6
08PES0257M,1136,6
08PES0236Z,1136,6
08PES0272E,1136,6
08PES0244I,1136,6
08PES0260Z,1136,6
