name,grupo,sub_grupo
02DES0001N,1652,1
02DES0025X,1652,1
02DES0031H,1652,1
02DES0045K,1652,1
02DST0036V,1652,1
02EES0134C,1652,1
02EES0146H,1652,1
02EES0198N,1652,1
02EES0217L,1652,1
02EST0008Y,1652,1
02PES0136G,1652,1
02EES0168T,1652,1
02EES0186I,1652,2
02ETV0088N,1652,2
02DES0005J,1652,3
02DST0011M,1652,3
02EES0019L,1652,3
02ETV0022E,1652,3
02ETV0086P,1652,3
02ETV0060H,1652,3
02DST0022S,1652,4
02EES0063Z,1652,4
02EES0213P,1652,4
02PES0001S,1652,4
02PES0014W,1652,4
02PES0015V,1652,4
02PES0031M,1652,4
02PES0050A,1652,4
02PES0055W,1652,4
02PES0056V,1652,4
02PES0075J,1652,4
02PES0083S,1652,4
02PES0208J,1652,4
02PES0077H,1652,4
02DES0044L,1652,5
02DST0019E,1652,5
02DST0020U,1652,5
02DST0048Z,1652,5
02EES0003K,1652,5
02EES0050V,1652,5
02EES0062Z,1652,5
02EES0197O,1652,5
02ETV0062F,1652,5
02ETV0021F,1652,5
02ETV0084R,1652,5
02PES0100S,1652,5
02DES0006I,1652,6
02DST0008Z,1652,6
02DST0029L,1652,6
02EES0029S,1652,6
02EES0049F,1652,6
02ETV0020G,1652,6
02ETV0077H,1652,6
