"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.06,0.2,0,0.05,147.44,97,0.07
"2",2,0.08,0.41,0,0.07,270.19,93,0.12
"3",3,0.05,0.32,0,0.03,167.94,59,0.2
"4",4,0.11,0.37,0,0.07,159.4,49,0.18
"5",5,0.09,0.51,0,0.07,441.71,77,0.16
"6",6,0.1,0.47,0,0.05,646.15,65,0.52
"7",7,0.13,0.42,0,0.1,651,67,0.24
"8",8,0.02,0.05,0,0.02,6.97,12,0.25
"9",9,0.09,0.29,0,0.09,309.85,49,0.98
"10",10,0.35,0.52,0.05,0.48,40.15,3,1
"11",11,0.02,0.03,0.01,0.02,0.78,3,1
"12",12,0.08,0.2,0,0.07,129.03,11,0.27
"13",13,0.15,0.3,0,0.16,243.91,20,0.15
"14",14,0.02,0.05,0,0.02,8.35,10,0.2
"15",15,0.09,0.11,0.08,0.08,28.91,3,1
