"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.21,0.54,0,0.17,723.56,34,0.09
"2",2,0.11,0.27,0.01,0.11,203.84,9,0.11
"3",3,0,0,0,0,0,2,0
"4",4,0.15,0.15,0.15,0.15,0,2,0
"5",5,0.06,0.06,0.06,0.06,0,2,0
"6",6,0.07,0.12,0.02,0.07,38.86,5,0
"7",7,0.01,0.01,0.01,0.01,0,2,0.5
"8",8,0.02,0.03,0,0.02,0.56,3,0.33
"9",9,0.07,0.11,0.02,0.09,3.2,3,0
"10",10,0.09,0.19,0,0.1,95.76,10,0.3
"11",11,0.07,0.07,0.07,0.07,0,2,0
"12",12,0.01,0.01,0.01,0.01,0,2,0.5
"13",13,0.11,0.17,0.05,0.12,7.14,3,0
"14",14,0.01,0.01,0.01,0.01,0,2,0
"15",15,0.01,0.01,0.01,0.01,0,2,0
"16",16,0.04,0.04,0.04,0.04,0,2,0
"17",17,0,0,0,0,0,2,0.5
"18",18,0.01,0.01,0.01,0.01,0,2,0
"19",19,0.06,0.06,0.06,0.06,0,2,0
"20",20,0.03,0.03,0.03,0.03,0,2,0
"21",21,0.05,0.05,0.05,0.05,0,2,0
"22",22,0.01,0.01,0.01,0.01,0,2,0.5
"23",23,NA,-Inf,Inf,NA,0,1,0
"24",24,0.08,0.1,0.05,0.09,22.43,3,0
"25",25,0.23,0.5,0,0.25,363.62,7,0.29
"26",26,0.28,1.34,0,0.18,2824.82,26,0.23
"27",27,0.48,2.5,0,0.17,20568.49,373,0.44
"28",28,0.09,0.48,0,0.07,525.8,38,0.34
"29",29,0.31,1.22,0,0.22,2328.71,24,0.29
"30",30,0.23,0.58,0.01,0.2,762.98,21,0.05
"31",31,0.04,0.07,0.01,0.04,4.48,4,0.25
"32",32,0.35,2.09,0,0.11,7292.75,37,0.16
"33",33,0.1,0.21,0.01,0.09,48.36,7,0
"34",34,0.14,0.34,0.01,0.13,352.52,19,0.11
"35",35,0.06,0.07,0.03,0.07,9.15,3,0
"36",36,0.01,0.01,0.01,0.01,0,2,0
"37",37,0.14,0.37,0.01,0.12,470.66,11,0.36
"38",38,0.59,1.16,0,1.01,1476.22,17,0.06
