"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.02,0.05,0,0.02,9.57,12,0.83
"2",2,0.15,0.24,0.01,0.16,103.36,4,0.25
"3",3,0.13,0.49,0,0.1,516.01,18,0
"4",4,0.14,0.14,0.14,0.14,0,2,0
"5",5,0.04,0.08,0.01,0.04,14.15,5,0
"6",6,0.06,0.12,0.01,0.04,48.97,8,0
"7",7,0.09,0.18,0.01,0.1,51.59,5,0
"8",8,0.05,0.08,0.02,0.05,1.03,3,0
"9",9,0.11,0.11,0.11,0.11,0,2,0
"10",10,0.03,0.05,0.02,0.03,1.03,3,0
"11",11,0.1,0.18,0.03,0.08,41.9,5,0
"12",12,0.06,0.06,0.06,0.06,0,2,0
"13",13,0.04,0.04,0.04,0.04,0,2,0
"14",14,0.06,0.08,0.03,0.06,18.33,4,0
"15",15,0.07,0.07,0.07,0.07,0,2,0
"16",16,0,0,0,0,0,2,0
"17",17,0.05,0.08,0.04,0.05,4.12,3,0
"18",18,0.06,0.06,0.06,0.06,0,2,0
"19",19,0.06,0.08,0.04,0.07,26.51,4,0
"20",20,0.08,0.12,0.02,0.1,1.64,3,0
"21",21,0.13,0.19,0.04,0.16,6.89,3,0
"22",22,0.08,0.08,0.08,0.08,0,2,0
"23",23,0.02,0.02,0.02,0.02,0,2,0
"24",24,0.03,0.03,0.03,0.03,0,2,0
"25",25,0.29,0.29,0.29,0.29,0,2,0
"26",26,0.03,0.03,0.03,0.03,0,2,0
"27",27,0.02,0.04,0.01,0.02,1.26,4,1
"28",28,0.03,0.08,0,0.03,8.08,7,1
