"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.29,0.63,0.01,0.14,432.07,10,0
"2",2,0.13,0.32,0.01,0.11,288.55,9,0.11
"3",3,0.15,0.31,0.02,0.08,114.15,5,0
"4",4,0.04,0.04,0.04,0.04,0,2,0
"5",5,0.06,0.06,0.06,0.06,0,2,0
"6",6,0.15,0.49,0,0.15,606.19,22,0
"7",7,0.1,0.18,0.03,0.08,42.14,5,0
"8",8,0.06,0.08,0.04,0.07,26.46,4,0
"9",9,0.08,0.28,0.01,0.07,148.09,12,0
"10",10,0.09,0.2,0.01,0.08,136.68,11,0
"11",11,0.13,0.19,0.04,0.16,6.91,3,0
"12",12,0.08,0.08,0.08,0.08,0,2,0
"13",13,0.02,0.02,0.02,0.02,0,2,0
"14",14,0.05,0.08,0.04,0.05,4.13,3,0
"15",15,0.02,0.04,0.01,0.02,1.26,4,1
"16",16,0.03,0.09,0,0.03,18.76,19,0.89
