"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.05,0.13,0,0.04,40.7,21,0.9
"2",2,0.04,0.11,0,0.03,45.38,21,0.38
"3",3,0.03,0.05,0.01,0.03,4.9,5,1
"4",4,0.04,0.09,0,0.04,32.28,13,1
"5",5,0.05,0.2,0,0.04,106.09,26,0.23
"6",6,0.05,0.17,0,0.04,37.5,19,0.16
"7",7,0.03,0.05,0.01,0.03,4.81,5,1
"8",8,0.04,0.11,0,0.03,12.08,8,0.25
"9",9,0.02,0.02,0.02,0.02,0,2,1
"10",10,0.06,0.09,0.04,0.06,9.91,3,0
"11",11,0.02,0.02,0.02,0.02,0,2,0
"12",12,NA,-Inf,Inf,NA,0,1,1
"13",13,NA,-Inf,Inf,NA,0,1,1
"14",14,NA,-Inf,Inf,NA,0,1,1
"15",15,NA,-Inf,Inf,NA,0,1,1
